id,Term,Classification_level1,Classification_level2,ListHits,ListTotal,PopHits,PopTotal,p-value,q-value,Enrichment_score,geneID,hyperlink_only_excel
rno04713,Circadian entrainment,Organismal Systems,Environmental adaptation,1,82,97,9012,0.589926672,0.745373323,1.133014835,Prkcg,rno04713
rno04714,Thermogenesis,Organismal Systems,Environmental adaptation,3,82,233,9012,0.356311635,0.721007073,1.415052863,Slc25a29;Ndufa10l1;Cox7a1,rno04714
rno04720,Long-term potentiation,Organismal Systems,Nervous system,1,82,66,9012,0.454186378,0.745373323,1.66518847,Prkcg,rno04720
rno04722,Neurotrophin signaling pathway,Organismal Systems,Nervous system,1,82,120,9012,0.668529244,0.776939391,0.915853659,Ntrk2,rno04722
rno04723,Retrograde endocannabinoid signaling,Organismal Systems,Nervous system,4,82,148,9012,0.045648875,0.320569931,2.97033619,Ndufa10l1;Prkcg;Ptgs2;Gabrg3,rno04723
rno04724,Glutamatergic synapse,Organismal Systems,Nervous system,1,82,114,9012,0.649589629,0.771296408,0.964056483,Prkcg,rno04724
rno04725,Cholinergic synapse,Organismal Systems,Nervous system,1,82,112,9012,0.64304191,0.771296408,0.981271777,Prkcg,rno04725
rno04726,Serotonergic synapse,Organismal Systems,Nervous system,2,82,122,9012,0.305089108,0.721007073,1.801679328,Prkcg;Ptgs2,rno04726
rno04727,GABAergic synapse,Organismal Systems,Nervous system,2,82,89,9012,0.194059077,0.698535951,2.469717731,Prkcg;Gabrg3,rno04727
rno04728,Dopaminergic synapse,Organismal Systems,Nervous system,1,82,130,9012,0.697873172,0.793281421,0.845403377,Prkcg,rno04728
rno04730,Long-term depression,Organismal Systems,Nervous system,1,82,61,9012,0.428477452,0.745373323,1.801679328,Prkcg,rno04730
rno04742,Taste transduction,Organismal Systems,Sensory system,2,82,91,9012,0.200682436,0.698535951,2.41543822,Scn3a;Trpm5,rno04742
rno04744,Phototransduction,Organismal Systems,Sensory system,1,82,26,9012,0.211787928,0.698535951,4.227016886,Gnat2,rno04744
rno04750,Inflammatory mediator regulation of TRP channels,Organismal Systems,Sensory system,2,82,114,9012,0.278075946,0.721007073,1.928112965,Il1rap;Prkcg,rno04750
rno04810,Regulation of actin cytoskeleton,Cellular Processes,Cell motility,5,82,233,9012,0.060781071,0.373369436,2.358421438,Itga2b;Itga2;Itgb6;Itgam;Fn1,rno04810
rno04814,Motor proteins,Cellular Processes,Cell motility,2,82,190,9012,0.519034738,0.745373323,1.156867779,Myo7a;Kif14,rno04814
rno04910,Insulin signaling pathway,Organismal Systems,Endocrine system,1,82,138,9012,0.7194878,0.793281421,0.796394486,Slc2a4,rno04910
rno04911,Insulin secretion,Organismal Systems,Endocrine system,1,82,85,9012,0.541875323,0.745373323,1.292969871,Prkcg,rno04911
rno04912,GnRH signaling pathway,Organismal Systems,Endocrine system,2,82,90,9012,0.197367169,0.698535951,2.442276423,Mmp14;Mmp2,rno04912
rno04913,Ovarian steroidogenesis,Organismal Systems,Endocrine system,1,82,58,9012,0.412481719,0.745373323,1.894869638,Ptgs2,rno04913
