id,Term,Classification_level1,Classification_level2,ListHits,ListTotal,PopHits,PopTotal,p-value,q-value,Enrichment_score,geneID,hyperlink_only_excel
rno05160,Hepatitis C,Human Diseases,Infectious disease: viral,2,84,158,9012,0.435134509,0.607492984,1.358047016,Tp53;Cldn2,rno05160
rno05161,Hepatitis B,Human Diseases,Infectious disease: viral,4,84,156,9012,0.057526112,0.271914782,2.750915751,Tp53;Creb5;Nfatc1;Map2k3,rno05161
rno05162,Measles,Human Diseases,Infectious disease: viral,2,84,142,9012,0.382918199,0.567775261,1.511066398,Il1b;Tp53,rno05162
rno05163,Human cytomegalovirus infection,Human Diseases,Infectious disease: viral,4,84,244,9012,0.192692874,0.481732186,1.758782201,Il1b;Tp53;Creb5;Nfatc1,rno05163
rno05164,Influenza A,Human Diseases,Infectious disease: viral,2,84,168,9012,0.466576059,0.616343745,1.277210884,Il1b;Icam1,rno05164
rno05165,Human papillomavirus infection,Human Diseases,Infectious disease: viral,5,84,349,9012,0.225499017,0.484822886,1.537044617,Col6a5;Tp53;Creb5;Itga4;Thbs4,rno05165
rno05166,Human T-cell leukemia virus 1 infection,Human Diseases,Infectious disease: viral,7,84,246,9012,0.007879976,0.123241464,3.052845528,Il1r2;Tp53;Cdc20;Icam1;Creb5;Nfatc1;Itgb2,rno05166
rno05167,Kaposi sarcoma-associated herpesvirus infection,Human Diseases,Infectious disease: viral,3,84,212,9012,0.316682883,0.540748162,1.51819407,Tp53;Icam1;Nfatc1,rno05167
rno05168,Herpes simplex virus 1 infection,Human Diseases,Infectious disease: viral,2,84,381,9012,0.876166173,0.880260408,0.563179603,Il1b;Tp53,rno05168
rno05169,Epstein-Barr virus infection,Human Diseases,Infectious disease: viral,4,84,222,9012,0.1525551,0.43157035,1.933075933,Tp53;Icam1;Map2k3;Runx3,rno05169
rno05170,Human immunodeficiency virus 1 infection,Human Diseases,Infectious disease: viral,2,84,228,9012,0.631793911,0.72253027,0.941102757,Nfatc1;Map2k3,rno05170
rno05171,Coronavirus disease - COVID-19,Human Diseases,Infectious disease: viral,4,84,286,9012,0.276779823,0.515540714,1.5004995,Agtr1b;Il1b;Rps4x;Rpl39,rno05171
rno05200,Pathways in cancer,Human Diseases,Cancer: overview,9,84,533,9012,0.059259023,0.271914782,1.811578665,Nos2;Agtr1b;Zbtb16;Tp53;Arnt2;Gstm3;Csf3r;Gstm2;Dapk1,rno05200
rno05202,Transcriptional misregulation in cancer,Human Diseases,Cancer: overview,7,84,189,9012,0.001853294,0.049807275,3.973544974,Il1r2;Zbtb16;Tp53;Arnt2;Per2;Flt1;Bcl2a1,rno05202
rno05203,Viral carcinogenesis,Human Diseases,Cancer: overview,3,84,217,9012,0.329508483,0.541166467,1.48321264,Tp53;Cdc20;Creb5,rno05203
rno05204,Chemical carcinogenesis - DNA adducts,Human Diseases,Cancer: overview,3,84,76,9012,0.033750441,0.213421908,4.234962406,Gstm3;Sult1a1;Gstm2,rno05204
rno05205,Proteoglycans in cancer,Human Diseases,Cancer: overview,2,84,203,9012,0.568089079,0.671094241,1.057002111,Tp53;Ptpn6,rno05205
rno05206,MicroRNAs in cancer,Human Diseases,Cancer: overview,1,84,164,9012,0.787735749,0.802669128,0.654181185,Tp53,rno05206
rno05207,Chemical carcinogenesis - receptor activation,Human Diseases,Cancer: overview,4,84,213,9012,0.137175004,0.421323227,2.014755198,Gstm3;Creb5;Gstm2;Cacna1d,rno05207
rno05208,Chemical carcinogenesis - reactive oxygen species,Human Diseases,Cancer: overview,3,84,231,9012,0.365379231,0.560948308,1.393320965,Gstm3;Gstm2;Foxo3,rno05208
rno05210,Colorectal cancer,Human Diseases,Cancer: specific types,1,84,88,9012,0.563125336,0.671094241,1.219155844,Tp53,rno05210
rno05211,Renal cell carcinoma,Human Diseases,Cancer: specific types,1,84,69,9012,0.477233487,0.625641462,1.554865424,Arnt2,rno05211
rno05212,Pancreatic cancer,Human Diseases,Cancer: specific types,1,84,75,9012,0.506019648,0.628868348,1.43047619,Tp53,rno05212
rno05213,Endometrial cancer,Human Diseases,Cancer: specific types,2,84,59,9012,0.104551367,0.380992271,3.636803874,Tp53;Foxo3,rno05213
rno05214,Glioma,Human Diseases,Cancer: specific types,1,84,74,9012,0.501333139,0.628868348,1.44980695,Tp53,rno05214
rno05215,Prostate cancer,Human Diseases,Cancer: specific types,3,84,99,9012,0.064789314,0.273131424,3.251082251,Il1r2;Tp53;Creb5,rno05215
rno05216,Thyroid cancer,Human Diseases,Cancer: specific types,1,84,38,9012,0.29994154,0.532953976,2.823308271,Tp53,rno05216
rno05217,Basal cell carcinoma,Human Diseases,Cancer: specific types,1,84,62,9012,0.441549637,0.608545974,1.730414747,Tp53,rno05217
rno05218,Melanoma,Human Diseases,Cancer: specific types,1,84,73,9012,0.496602702,0.62853946,1.469667319,Tp53,rno05218
rno05219,Bladder cancer,Human Diseases,Cancer: specific types,2,84,41,9012,0.055701079,0.271914782,5.233449477,Tp53;Dapk1,rno05219
rno05220,Chronic myeloid leukemia,Human Diseases,Cancer: specific types,1,84,78,9012,0.51981962,0.642305852,1.375457875,Tp53,rno05220
rno05221,Acute myeloid leukemia,Human Diseases,Cancer: specific types,3,84,68,9012,0.025361351,0.175893237,4.733193277,Zbtb16;Per2;Bcl2a1,rno05221
